Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
0.00,0.00,1.00,-0.24,-0.18,-0.18,26.09,23.74,-32.89,1
-0.00,-0.00,1.00,-0.12,-0.24,-0.06,26.15,23.49,-31.69,1
0.00,0.00,1.00,-0.12,-0.24,-0.06,26.14,23.45,-31.80,1
-0.00,-0.00,1.00,-0.06,-0.18,-0.06,26.04,24.15,-32.87,1
0.00,0.00,1.00,-0.31,-0.12,-0.06,26.56,23.34,-31.05,1
-0.00,-0.00,1.00,-0.18,-0.24,-0.18,26.64,23.49,-32.21,1
-0.00,-0.00,1.00,-0.18,-0.24,0.06,26.64,23.83,-33.07,1
0.00,0.00,1.00,-0.12,-0.31,0.00,26.03,23.49,-31.97,1
0.00,-0.00,1.00,0.00,-0.37,-0.24,25.82,23.96,-33.09,1
0.00,0.00,1.00,-0.37,-0.37,-0.18,25.51,23.60,-32.71,1
-0.00,-0.00,1.00,-0.24,-0.18,-0.06,25.63,23.86,-32.56,1
-0.00,0.00,1.00,-0.12,-0.43,-0.18,25.88,23.45,-32.67,1
0.00,-0.00,1.00,-0.24,-0.31,0.00,25.90,23.75,-32.95,1
-0.00,-0.00,1.00,-0.24,-0.24,-0.06,25.85,24.30,-33.28,1
0.00,0.00,1.00,-0.18,-0.18,-0.12,26.26,24.38,-32.24,1
-0.00,-0.00,1.00,-0.24,-0.18,0.00,25.89,23.62,-32.57,1
-0.00,0.00,1.00,-0.31,-0.18,-0.18,25.68,24.01,-32.04,1
0.00,-0.00,1.00,-0.31,-0.31,-0.31,25.46,23.93,-32.98,1
-0.13,-0.00,0.95,-0.85,2.32,29.97,25.32,23.33,-31.98,1
-0.00,-0.03,0.99,3.42,-3.72,-9.64,26.46,24.39,-33.95,1
-0.01,-0.01,1.03,4.39,-11.72,-3.23,25.61,25.79,-34.33,1
0.00,-0.06,0.97,53.04,10.80,-2.38,24.19,27.83,-33.97,1
-0.12,-0.08,1.00,-0.98,-30.58,3.91,23.27,28.19,-33.42,1
-0.06,-0.13,1.05,-24.84,29.48,21.18,23.32,28.30,-33.46,1
0.02,-0.06,0.96,-29.17,41.99,15.75,25.20,25.60,-35.30,1
0.06,-0.04,0.97,-8.42,-3.36,34.91,27.71,21.73,-34.42,1
0.06,-0.02,0.97,-19.47,-4.88,34.00,28.31,18.70,-34.86,1
0.08,0.02,1.00,2.26,16.36,1.10,28.16,17.31,-35.73,1
0.03,-0.02,1.08,12.57,0.37,1.46,28.49,17.16,-36.01,1
0.10,-0.01,0.95,8.67,10.25,4.70,28.96,18.38,-35.45,1
0.08,-0.02,0.93,0.73,-7.51,12.70,29.41,17.49,-34.62,1
0.01,-0.00,1.01,-0.98,-2.87,11.84,29.61,16.27,-34.94,1
0.06,-0.00,1.04,19.29,0.49,3.54,28.82,15.84,-34.39,1
0.05,-0.06,1.00,1.04,-1.22,2.01,28.89,16.80,-37.07,1
0.07,-0.04,0.97,-7.87,3.42,0.06,28.98,16.71,-36.08,1
0.12,0.01,0.95,-30.40,5.55,2.87,29.53,14.90,-36.28,1
0.08,0.01,0.98,15.93,1.10,11.84,29.28,13.27,-36.36,1
0.08,0.01,1.00,4.33,1.40,1.77,29.37,13.95,-36.33,1
0.07,-0.02,0.98,2.99,3.36,2.81,28.66,14.11,-36.02,1
0.09,0.01,1.00,0.98,-5.92,-16.36,28.71,13.67,-36.10,1
0.05,-0.01,1.00,-11.84,-0.98,-40.34,29.05,14.60,-37.43,1
