Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
-0.06,0.00,-1.00,-0.18,-0.31,-0.24,36.61,17.32,23.71,2
-0.05,-0.00,-1.01,-0.31,-0.18,-0.06,36.50,17.55,24.84,2
-0.06,-0.00,-1.00,-0.06,-0.31,-0.06,36.80,16.92,24.22,2
-0.06,-0.00,-1.00,-0.31,-0.24,-0.18,36.63,17.03,23.49,2
-0.06,-0.00,-1.00,-0.18,-0.37,-0.24,36.84,17.00,24.29,2
-0.06,-0.00,-1.00,-0.24,-0.24,0.06,37.07,16.87,23.35,2
-0.05,-0.00,-1.00,-0.24,-0.12,-0.12,36.47,17.00,24.65,2
-0.06,-0.00,-1.00,-0.06,-0.18,0.06,37.23,16.99,24.90,2
-0.06,-0.00,-1.00,-0.37,-0.31,-0.12,36.29,16.81,23.67,2
-0.06,-0.01,-1.00,8.61,-0.61,16.24,37.06,17.58,23.95,2
-0.05,-0.00,-1.00,-3.85,-0.24,0.24,37.67,16.59,25.12,2
-0.05,0.00,-1.01,1.89,-0.24,-0.12,38.01,16.28,25.84,2
-0.06,-0.00,-1.01,2.75,-0.31,-0.37,37.55,16.72,24.02,2
0.12,-0.05,-1.01,0.49,9.22,-0.55,38.95,17.22,29.03,2
-0.09,0.05,-1.04,-16.60,15.38,-8.30,34.03,15.15,27.88,2
-0.09,-0.00,-1.03,-13.06,-4.70,-3.54,25.83,16.11,30.98,2
-0.05,-0.00,-0.95,2.50,-1.53,0.12,22.66,18.54,35.35,2
-0.05,-0.02,-0.97,4.27,-9.83,-2.32,22.35,17.82,35.44,2
-0.03,-0.03,-1.02,6.23,-2.50,-6.16,22.51,18.03,37.05,2
0.02,-0.01,-0.99,0.12,-7.08,1.40,23.12,18.35,38.01,2
-0.03,0.01,-0.98,3.42,-1.83,-2.50,22.60,17.91,37.93,2
0.00,-0.02,-1.05,0.49,-6.16,0.12,23.11,18.16,38.26,2
0.01,-0.01,-1.01,3.72,4.94,-1.59,23.16,17.68,38.00,2
0.04,-0.00,-1.01,7.93,3.54,-0.55,22.78,17.60,36.58,2
-0.03,0.02,-1.01,4.33,-1.04,-2.44,22.89,17.49,38.42,2
-0.01,0.02,-1.01,-0.18,0.49,-1.53,22.84,16.33,36.95,2
-0.01,0.03,-1.00,2.50,5.37,-3.72,22.84,17.29,37.81,2
-0.03,0.04,-1.02,-6.53,2.69,-0.61,22.44,17.27,36.99,2
-0.03,0.02,-1.02,-13.00,3.11,-2.50,23.05,18.08,36.06,2
-0.01,-0.01,-1.01,17.76,1.71,-3.30,23.63,17.70,37.61,2
-0.02,0.02,-1.00,-1.28,0.12,-2.32,24.00,17.90,37.70,2
-0.01,0.02,-1.00,0.31,-0.12,-2.38,23.93,18.42,36.62,2
-0.00,0.02,-1.00,0.92,1.71,-1.34,24.30,17.86,38.53,2
-0.01,0.03,-0.99,-6.96,-2.81,1.40,25.02,18.07,39.62,2
-0.03,0.02,-1.02,-8.79,-1.53,0.61,25.70,18.21,36.84,2
-0.02,-0.00,-1.02,4.39,8.85,7.14,26.12,18.57,36.72,2
0.00,0.02,-0.99,-3.97,2.32,11.60,26.59,18.44,37.67,2
-0.01,0.02,-1.00,4.58,4.76,7.87,26.22,17.37,36.04,2
-0.05,0.02,-1.01,4.76,-1.34,1.89,26.84,16.87,36.13,2
