Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
0.11,1.00,0.17,2.20,4.94,6.71,24.71,-25.27,-3.63,3
0.10,0.95,0.08,-9.58,1.65,-0.85,25.29,-25.56,-3.19,3
0.11,1.00,0.11,5.31,-10.93,-5.25,25.49,-25.44,-2.64,3
0.06,0.88,0.19,14.77,-28.20,-3.23,25.95,-24.63,-5.60,3
0.07,0.96,0.14,1.16,-25.09,-7.08,26.43,-24.65,-6.46,3
0.11,0.99,0.20,5.43,-21.97,-0.61,25.93,-24.94,-7.70,3
0.11,0.96,0.17,-0.31,-29.60,-1.65,25.55,-23.75,-8.57,3
0.11,0.96,0.19,-4.15,-15.93,-2.14,24.62,-23.96,-9.14,3
0.09,0.96,0.21,-5.55,-13.55,-2.50,24.37,-24.05,-9.55,3
0.10,0.99,0.17,-6.96,-3.60,0.12,24.67,-24.19,-11.16,3
0.09,0.98,0.16,-5.25,-7.93,0.85,24.46,-24.18,-9.81,3
0.09,0.98,0.16,-5.68,-10.25,0.00,24.68,-24.55,-10.41,3
0.09,0.99,0.16,-2.44,-1.40,0.43,24.35,-24.55,-9.27,3
0.08,0.91,0.18,-3.36,2.38,1.22,24.29,-24.73,-8.65,3
0.08,0.96,0.16,-0.43,6.35,0.24,24.26,-24.96,-8.46,3
0.09,0.98,0.11,-12.08,10.38,2.81,24.17,-24.60,-8.69,3
0.08,0.98,0.13,-0.61,2.81,-0.55,24.02,-25.38,-7.63,3
0.09,0.99,0.13,2.44,0.43,0.31,24.23,-25.15,-8.42,3
0.10,0.99,0.14,2.99,-0.37,1.65,24.35,-24.93,-8.76,3
0.09,0.98,0.14,-0.43,4.52,0.92,24.26,-25.04,-7.08,3
0.09,0.97,0.15,1.34,3.60,-0.24,24.10,-25.10,-7.02,3
0.08,0.98,0.14,-0.73,4.76,0.00,24.65,-24.35,-7.91,3
0.08,0.98,0.15,-4.39,7.87,-0.06,24.05,-25.07,-6.75,3
0.09,0.99,0.12,-4.03,5.68,0.92,24.24,-25.15,-7.81,3
0.09,0.99,0.13,-0.06,2.56,0.37,24.41,-24.74,-7.70,3
0.09,0.98,0.11,-2.01,6.23,0.55,24.79,-25.61,-7.41,3
0.09,0.98,0.13,0.43,9.03,4.09,23.97,-25.38,-5.87,3
0.09,0.98,0.12,-3.54,11.35,5.86,24.21,-24.33,-5.86,3
0.07,0.96,0.13,4.33,12.33,4.46,23.80,-25.04,-6.45,3
0.06,0.99,0.10,-2.87,6.71,3.42,23.72,-25.22,-4.83,3
0.07,0.99,0.12,1.77,7.02,0.79,23.89,-25.27,-4.13,3
0.05,0.98,0.13,5.68,3.30,0.73,23.73,-24.67,-4.27,3
0.07,1.00,0.13,-4.09,13.55,3.78,23.28,-25.27,-3.17,3
0.05,0.96,0.13,-6.23,16.36,4.64,23.43,-25.28,-4.69,3
0.06,0.95,0.10,-6.77,17.88,5.37,23.27,-25.74,-1.03,3
0.04,0.99,0.07,-2.75,6.35,1.10,23.18,-25.83,0.00,3
0.04,1.01,0.07,-3.11,10.93,4.88,23.08,-25.57,-0.98,3
0.03,1.00,0.10,-2.81,10.19,2.69,22.55,-26.06,1.84,3
