Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
-0.96,-0.00,0.12,11.90,-14.59,4.70,-40.69,24.07,-21.70,4
-0.97,-0.03,0.10,24.05,-9.95,12.51,-40.49,26.15,-20.53,4
-0.96,-0.02,0.06,10.50,-1.65,2.93,-41.16,28.58,-18.55,4
-0.97,-0.03,0.10,4.27,0.37,-1.65,-41.98,28.20,-18.86,4
-0.98,-0.04,0.10,14.10,1.77,-1.77,-41.93,28.45,-19.45,4
-0.98,-0.02,0.11,27.47,0.12,1.83,-41.42,29.32,-18.97,4
-0.98,-0.02,0.13,13.12,3.97,-4.64,-41.56,29.57,-19.08,4
-0.99,-0.04,0.09,11.35,-4.88,7.81,-40.88,31.20,-19.29,4
-1.00,-0.09,0.07,-1.71,4.27,-2.56,-40.72,31.85,-18.47,4
-0.97,-0.08,0.08,7.26,-2.01,3.11,-40.76,31.87,-18.35,4
-0.98,-0.08,0.06,11.66,1.34,1.53,-41.36,32.90,-18.16,4
-0.98,-0.08,0.09,9.95,5.00,-4.70,-40.44,33.02,-17.53,4
-1.01,-0.06,0.12,8.36,-2.26,0.67,-40.59,33.04,-17.99,4
-0.98,-0.07,0.09,1.22,-1.89,-3.17,-41.52,33.86,-17.61,4
-0.98,-0.10,0.08,12.39,-4.33,5.62,-41.33,34.39,-16.80,4
-0.97,-0.09,0.07,5.92,2.93,-3.78,-41.09,34.70,-17.02,4
-0.98,-0.10,0.08,14.16,-1.95,4.33,-41.27,34.41,-17.65,4
-0.98,-0.16,0.04,23.86,-4.46,1.77,-40.95,35.85,-16.70,4
-1.00,-0.10,0.08,28.14,-1.22,-0.61,-40.49,36.08,-15.94,4
-0.97,-0.08,0.09,23.86,1.34,-4.27,-40.67,36.96,-15.76,4
-0.98,-0.09,0.06,21.73,-3.11,3.23,-40.91,37.57,-14.26,4
-1.00,-0.16,0.02,27.77,-3.05,2.93,-40.86,39.15,-14.27,4
-0.99,-0.09,0.04,30.33,-8.12,1.71,-41.56,40.00,-12.27,4
-0.95,0.01,0.10,13.67,16.48,-8.24,-41.64,40.64,-10.27,4
-0.94,-0.07,0.03,7.75,-0.55,5.43,-41.93,40.48,-11.01,4
-0.99,-0.14,0.03,1.28,-0.49,-2.81,-41.43,40.86,-10.91,4
-0.98,-0.07,0.06,5.19,2.75,-2.01,-40.44,40.76,-11.63,4
-0.97,-0.16,0.04,1.22,-0.06,-5.98,-41.41,40.93,-10.28,4
-0.96,-0.07,0.05,-2.20,1.22,-1.10,-41.47,40.81,-11.66,4
-0.99,-0.12,0.06,5.31,-9.95,6.65,-41.67,40.69,-10.67,4
-0.99,-0.14,0.05,-12.63,-1.16,-6.47,-41.76,41.03,-10.52,4
-0.96,-0.13,0.00,-8.24,1.65,-6.53,-41.77,40.84,-10.57,4
-1.04,-0.08,0.04,-14.34,-1.59,-11.29,-42.27,39.34,-10.57,4
-0.99,-0.07,0.01,0.67,-9.46,1.71,-42.46,39.14,-12.15,4
-0.96,-0.08,0.01,-16.78,7.87,-3.66,-42.20,38.82,-10.86,4
-0.97,-0.03,0.06,-23.19,12.08,-8.91,-42.44,37.49,-12.06,4
-0.97,-0.09,0.06,3.05,-15.50,9.03,-42.24,37.66,-13.34,4
