Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
0.99,-0.09,0.00,1.65,-1.95,0.06,41.91,28.82,16.89,4
1.00,-0.07,0.00,1.77,-0.18,-0.24,42.07,29.05,17.93,4
1.00,-0.07,-0.01,1.71,-2.50,-0.43,42.26,28.87,17.90,4
1.00,-0.07,0.00,2.01,-1.95,-0.31,42.05,28.72,16.72,4
1.00,-0.08,0.01,4.03,-0.98,-1.04,42.19,28.42,17.83,4
0.99,-0.09,0.01,10.93,-0.67,1.77,42.76,29.02,16.93,4
1.00,-0.08,0.01,20.75,-1.95,5.37,42.83,28.88,16.66,4
1.00,-0.07,0.02,22.89,-1.16,9.09,43.21,27.29,18.42,4
1.02,-0.08,-0.01,15.20,1.40,0.61,42.99,25.38,18.18,4
1.00,-0.07,0.00,7.39,-0.43,-2.81,42.52,25.23,18.60,4
1.00,-0.07,0.00,-0.06,0.18,-5.86,42.27,25.82,19.78,4
1.00,-0.06,0.01,5.19,0.73,-1.53,42.21,25.06,18.87,4
0.99,-0.06,0.01,7.14,-0.85,-4.21,42.26,25.60,20.64,4
1.00,-0.05,0.01,9.58,-4.39,-0.18,42.15,25.52,19.80,4
0.99,-0.06,-0.00,12.88,-3.60,-4.88,42.90,25.34,19.64,4
0.99,-0.10,0.01,7.63,-1.22,-1.53,42.58,25.21,18.90,4
0.99,-0.10,0.02,-2.44,-0.31,-7.08,41.88,26.33,18.13,4
1.00,-0.09,0.01,18.49,1.53,3.85,42.31,26.10,18.99,4
0.99,-0.13,0.04,5.98,-0.18,-2.44,42.18,24.55,20.70,4
1.01,-0.12,0.02,3.11,5.43,0.06,41.72,26.09,20.62,4
0.98,-0.13,0.01,-2.08,1.16,-0.61,41.92,24.67,20.51,4
1.00,-0.12,-0.01,3.66,1.04,0.24,41.86,24.94,20.70,4
1.00,-0.14,0.01,-3.17,-1.28,-9.03,42.24,24.87,20.72,4
1.01,-0.15,-0.01,-4.64,-1.59,0.55,41.91,26.39,20.04,4
1.00,-0.10,0.00,-14.65,-5.13,-0.67,42.35,26.32,21.34,4
0.98,-0.12,0.01,-19.04,-1.83,-3.60,42.08,26.31,20.75,4
1.00,-0.14,-0.01,-25.94,1.95,-12.08,42.27,27.31,18.52,4
0.97,-0.15,0.01,-9.34,2.93,-0.43,41.93,29.48,17.79,4
1.01,-0.15,-0.02,-27.47,6.16,-3.17,41.85,29.08,18.76,4
1.00,-0.13,-0.02,-7.93,-1.65,-0.43,41.74,29.66,18.38,4
0.95,-0.16,0.02,3.48,-3.05,0.79,41.25,30.11,18.59,4
0.97,-0.15,0.03,43.33,0.06,8.79,42.57,29.37,18.85,4
1.01,-0.11,-0.03,30.21,0.73,5.98,42.14,27.54,19.90,4
0.99,-0.14,0.00,24.72,-2.20,1.40,42.14,25.96,20.68,4
0.92,-0.18,0.04,36.19,-0.49,14.28,41.76,24.68,21.11,4
0.99,-0.16,0.04,35.64,-4.76,16.66,42.82,22.06,22.64,4
1.04,-0.01,-0.01,20.02,-0.37,12.57,43.14,19.56,22.96,4
1.03,-0.04,-0.03,-0.06,2.93,3.17,43.01,18.60,22.64,4
0.96,-0.04,0.02,7.39,0.12,-0.67,42.49,18.59,22.23,4
0.98,-0.04,-0.02,13.85,-1.83,-0.37,43.12,17.79,23.07,4
1.02,-0.03,-0.04,12.88,8.61,5.07,42.16,16.92,23.61,4
1.03,-0.00,-0.06,-0.92,2.44,6.10,42.88,15.86,23.69,4
0.93,0.01,-0.03,-18.19,-5.74,-1.65,42.48,16.47,22.77,4
1.00,-0.04,-0.04,-32.47,-2.93,-12.88,43.13,16.76,22.68,4
0.99,-0.13,-0.04,-32.53,-0.61,-13.79,42.86,19.21,23.68,4
1.01,-0.08,-0.08,-26.79,-1.04,-39.00,42.36,23.21,24.10,4
0.99,-0.11,-0.05,9.89,-3.78,-1.22,42.05,24.19,22.96,4
1.03,-0.14,-0.05,43.64,-1.28,12.33,41.64,23.85,23.14,4
0.98,-0.10,-0.03,28.08,-4.58,20.69,41.54,20.01,22.62,4
1.02,-0.03,-0.07,33.20,0.43,13.31,42.96,18.09,23.36,4
0.91,-0.01,0.02,44.37,19.35,21.91,42.48,16.74,23.77,4
1.00,-0.03,-0.12,71.66,14.95,-27.83,41.67,13.39,25.11,4
0.98,-0.07,-0.19,65.73,23.86,-43.64,40.03,13.39,27.73,4
0.98,0.01,-0.07,62.19,-10.80,1.46,41.00,11.44,26.93,4
0.92,0.02,-0.25,37.90,-8.36,8.24,41.36,9.67,27.05,4
0.96,-0.02,-0.12,19.17,-8.91,5.31,41.47,5.77,24.56,4
1.00,-0.01,-0.16,30.58,-15.08,0.43,42.36,5.19,22.77,4
1.00,-0.01,-0.14,76.97,-1.16,-6.29,42.71,3.20,21.62,4
1.00,0.02,-0.10,43.64,-3.42,-6.96,43.13,2.73,20.53,4
1.00,-0.01,-0.11,20.75,4.64,7.20,43.10,1.89,19.92,4
0.97,0.00,-0.08,36.99,-5.13,4.52,43.71,-0.18,16.37,4
1.00,0.03,-0.13,43.15,11.84,-4.94,42.81,-1.68,16.37,4
0.95,0.05,-0.14,23.38,-4.39,3.30,42.49,-3.17,16.48,4
1.08,-0.01,-0.02,1.83,-13.79,-11.11,42.24,-4.08,16.38,4
0.99,0.04,-0.13,-50.54,5.49,8.79,42.64,-3.11,16.20,4
0.99,0.03,-0.13,-38.57,-2.87,-5.80,41.76,-1.76,19.03,4
0.92,0.01,-0.08,-6.16,-1.40,-0.18,42.96,-1.95,19.01,4
0.97,0.04,-0.15,-13.43,9.83,11.66,42.57,-1.43,19.56,4
0.98,0.03,-0.18,-1.10,5.92,1.65,42.15,-1.72,21.22,4
0.99,0.04,-0.17,32.04,3.60,6.29,41.80,-2.65,19.38,4
1.04,0.06,-0.14,-12.57,-0.67,0.92,42.20,-2.55,20.30,4
0.97,0.05,-0.17,-62.74,4.46,5.13,41.96,-2.39,20.14,4
0.98,0.01,-0.19,-50.23,6.59,3.72,41.13,-0.70,22.35,4
0.98,0.03,-0.17,-27.65,0.37,-1.10,41.06,0.59,24.62,4
1.00,0.02,-0.20,-31.01,3.36,7.14,40.69,2.51,26.42,4
0.97,0.03,-0.17,-37.41,6.10,-1.10,40.69,2.83,26.75,4
0.98,-0.00,-0.24,-38.39,2.20,-10.50,40.70,5.80,27.11,4
0.98,-0.04,-0.20,-13.12,-2.44,0.85,41.03,7.85,26.79,4
0.98,-0.03,-0.21,2.08,-0.67,0.43,40.21,8.14,27.84,4
0.93,-0.06,-0.21,59.33,-0.37,-10.19,40.77,7.52,29.24,4
1.01,-0.00,-0.22,71.41,-3.42,-6.23,40.34,4.94,26.04,4
0.99,0.01,-0.19,33.14,-8.36,-0.73,40.89,1.81,25.16,4
0.98,0.01,-0.20,19.96,-9.09,-7.81,41.26,1.10,24.02,4
1.00,0.00,-0.19,34.06,-6.90,-0.06,41.58,0.67,22.42,4
0.99,0.01,-0.14,30.76,-13.92,-0.12,42.03,-1.21,20.26,4
0.99,0.04,-0.12,39.43,-6.41,1.28,41.81,-2.37,19.46,4
1.00,0.06,-0.12,35.77,-5.62,0.73,42.92,-3.11,16.67,4
1.00,0.09,-0.10,49.32,-1.53,6.16,42.83,-4.05,16.47,4
0.99,0.07,-0.10,36.56,5.31,0.24,42.82,-5.98,13.66,4
0.95,0.07,-0.08,27.95,3.05,-2.26,42.70,-7.02,13.53,4
0.93,0.07,-0.10,9.28,2.99,-9.58,42.20,-7.24,12.34,4
1.23,0.08,-0.14,34.79,24.41,-12.15,42.85,-7.02,12.45,4
1.01,0.07,-0.13,17.94,0.18,-1.53,42.24,-6.99,11.21,4
1.02,0.11,-0.09,10.13,-6.71,-5.37,42.86,-6.80,10.21,4
