Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
1.83,0.64,-0.82,-88.93,260.38,-87.59,41.71,26.44,-8.23,5
-1.16,-0.45,0.72,58.04,-297.42,-125.00,42.00,26.38,-2.87,5
3.93,0.64,-0.89,-57.13,283.51,-85.08,41.55,30.53,-7.06,5
-1.10,0.44,0.33,-177.31,-278.20,-383.36,36.12,37.62,-5.11,5
2.63,-0.83,-0.36,84.17,220.58,51.76,30.80,47.74,-6.18,5
-0.46,-0.58,0.49,92.71,-263.92,364.44,39.50,21.41,-9.91,5
1.16,1.60,-0.39,-18.31,295.90,269.71,40.54,18.13,-10.62,5
0.59,0.83,-0.06,78.61,-215.21,-522.58,41.67,0.57,-2.84,5
2.08,-0.71,0.59,-115.66,153.56,-328.61,30.93,44.78,-11.94,5
-0.14,-0.64,0.76,-70.37,-9.16,-140.50,13.89,56.14,-12.66,5
0.73,-0.56,0.61,26.25,104.61,260.19,27.53,50.01,-7.13,5
1.18,0.38,0.25,25.15,8.36,85.02,41.64,35.51,0.05,5
0.95,0.07,0.30,97.23,46.20,113.46,42.43,31.92,-0.39,5
0.95,0.26,0.31,233.52,-110.66,318.12,45.56,14.62,0.74,5
1.48,-0.30,1.00,-9.89,51.70,24.11,43.37,4.69,-6.15,5
0.12,0.66,1.04,-14.77,22.34,-112.00,41.60,6.95,-7.24,5
1.18,-0.45,0.58,171.08,74.58,-264.71,43.16,28.59,-1.11,5
0.86,-0.61,0.19,387.21,-87.65,78.31,43.42,26.03,14.49,5
0.60,-0.27,0.36,270.02,-152.34,-24.48,45.18,22.51,11.10,5
0.91,-0.56,0.97,-112.24,-298.58,103.64,44.02,22.61,-5.31,5
0.51,-0.92,0.06,-21.42,-62.32,18.49,37.66,16.02,-18.87,5
1.11,-0.28,0.71,329.10,8.79,83.56,35.08,24.66,-21.25,5
0.73,-1.35,0.64,143.01,12.15,151.18,33.78,34.38,-18.81,5
1.45,-0.84,-0.29,165.59,150.39,-20.08,40.75,30.64,-12.87,5
0.79,-0.70,-0.73,102.05,-126.46,-33.81,40.53,33.54,-6.10,5
-0.02,-0.91,-4.00,-7.75,366.82,-83.80,39.45,37.19,-6.07,5
0.41,-0.67,-0.21,-27.40,10.19,-12.27,34.20,38.29,-14.39,5
0.59,-1.29,0.82,308.90,-281.19,-36.07,31.57,45.87,-10.16,5
0.74,-0.64,0.31,-150.02,-78.37,77.88,23.99,41.52,-24.35,5
0.80,-0.48,-0.28,91.49,-155.58,60.91,25.93,38.07,-25.34,5
0.16,-0.63,0.68,70.31,-483.58,154.17,13.87,40.10,-30.41,5
-0.11,-0.61,1.00,34.91,-189.64,176.39,-7.47,46.61,-30.02,5
1.27,-0.09,0.86,14.71,47.67,196.59,-0.65,51.20,-26.87,5
0.49,-0.16,0.80,8.97,-72.81,106.51,7.02,50.48,-27.28,5
0.81,-0.27,1.05,-90.39,57.74,151.61,9.28,49.33,-28.74,5
0.14,-0.60,1.68,66.22,-9.09,124.02,19.96,44.26,-25.42,5
0.35,-0.30,-0.51,31.86,138.73,-96.07,25.31,31.32,-28.02,5
0.50,0.34,1.06,77.58,-98.45,227.54,29.65,29.58,-25.15,5
0.65,0.07,0.90,-49.62,-43.95,58.59,29.71,25.24,-25.68,5
0.57,1.51,0.10,-55.24,46.20,145.63,31.87,2.78,-25.74,5
0.56,0.12,0.21,261.96,124.02,-48.89,37.38,8.72,-20.68,5
0.48,0.68,1.51,370.54,73.30,-209.78,36.05,5.73,-24.46,5
0.41,-0.40,0.64,319.03,348.08,-238.10,38.43,23.54,-21.12,5
0.13,-0.66,-2.16,585.88,67.08,-70.43,29.30,36.96,28.41,5
-0.66,-0.06,0.13,167.11,-601.07,-346.50,41.71,23.65,22.22,5
-0.38,-1.45,2.31,-65.61,-283.94,-73.06,35.33,43.63,-11.10,5
-1.49,-0.05,2.05,-221.62,114.07,-532.96,32.47,45.29,-13.06,5
-0.64,-2.90,1.14,-681.64,125.79,-434.57,0.06,35.36,-37.59,5
-0.18,-0.94,-0.39,-325.93,386.96,-298.58,26.95,0.21,-30.94,5
0.47,-0.40,0.85,-84.47,185.49,-422.18,39.27,11.49,-20.68,5
0.74,0.07,-0.19,68.60,66.77,-144.35,37.55,26.57,-18.09,5
1.17,-0.87,0.51,-78.12,38.88,60.61,36.25,36.08,-12.74,5
